institution,year,status,total
Høgskulen på Vestlandet,2021,lukket,243
Høgskulen på Vestlandet,2022,diamant,101
Høgskulen på Vestlandet,2022,gull,273
Høgskulen på Vestlandet,2022,hybrid,72
Høgskulen på Vestlandet,2022,hybrid_avtale,156
Høgskulen på Vestlandet,2022,grønn,62
Høgskulen på Vestlandet,2022,deponert,1
Høgskulen på Vestlandet,2022,lukket,215
Høgskulen på Vestlandet,2023,diamant,124
Høgskulen på Vestlandet,2023,gull,275
Høgskulen på Vestlandet,2023,hybrid,107
Høgskulen på Vestlandet,2023,hybrid_avtale,138
Høgskulen på Vestlandet,2023,grønn,51
Høgskulen på Vestlandet,2023,deponert,1
Høgskulen på Vestlandet,2023,lukket,119
Høgskulen på Vestlandet,2024,diamant,99
Høgskulen på Vestlandet,2024,gull,253
Høgskulen på Vestlandet,2024,hybrid,88
Høgskulen på Vestlandet,2024,hybrid_avtale,152
Høgskulen på Vestlandet,2024,grønn,42
Høgskulen på Vestlandet,2024,deponert,2
Høgskulen på Vestlandet,2024,lukket,103
Høgskulen på Vestlandet,2025,diamant,118
Høgskulen på Vestlandet,2025,gull,286
Høgskulen på Vestlandet,2025,hybrid,93
Høgskulen på Vestlandet,2025,hybrid_avtale,125
Høgskulen på Vestlandet,2025,grønn,44
Høgskulen på Vestlandet,2025,deponert,24
Høgskulen på Vestlandet,2025,lukket,95
Høyskolen Kristiania,2013,gull,1
Høyskolen Kristiania,2013,grønn,1
Høyskolen Kristiania,2013,lukket,50
Høyskolen Kristiania,2014,gull,7
Høyskolen Kristiania,2014,grønn,3
Høyskolen Kristiania,2014,lukket,33
Høyskolen Kristiania,2015,diamant,2
Høyskolen Kristiania,2015,gull,8
Høyskolen Kristiania,2015,hybrid,10
Høyskolen Kristiania,2015,grønn,4
Høyskolen Kristiania,2015,lukket,53
Høyskolen Kristiania,2016,diamant,3
Høyskolen Kristiania,2016,gull,21
Høyskolen Kristiania,2016,hybrid,6
Høyskolen Kristiania,2016,grønn,31
Høyskolen Kristiania,2016,lukket,60
Høyskolen Kristiania,2017,gull,13
Høyskolen Kristiania,2017,hybrid,4
Høyskolen Kristiania,2017,grønn,21
Høyskolen Kristiania,2017,lukket,60
Høyskolen Kristiania,2018,diamant,4
Høyskolen Kristiania,2018,gull,21
Høyskolen Kristiania,2018,hybrid,7
Høyskolen Kristiania,2018,grønn,37
Høyskolen Kristiania,2018,lukket,75
Høyskolen Kristiania,2019,diamant,6
Høyskolen Kristiania,2019,gull,30
Høyskolen Kristiania,2019,hybrid,19
Høyskolen Kristiania,2019,hybrid_avtale,3
Høyskolen Kristiania,2019,grønn,34
Høyskolen Kristiania,2019,lukket,53
Høyskolen Kristiania,2020,diamant,8
Høyskolen Kristiania,2020,gull,25
Høyskolen Kristiania,2020,hybrid,24
Høyskolen Kristiania,2020,hybrid_avtale,17
Høyskolen Kristiania,2020,grønn,39
Høyskolen Kristiania,2020,lukket,49
Høyskolen Kristiania,2021,diamant,13
Høyskolen Kristiania,2021,gull,56
Høyskolen Kristiania,2021,hybrid,24
Høyskolen Kristiania,2021,hybrid_avtale,31
Høyskolen Kristiania,2021,grønn,41
Høyskolen Kristiania,2021,lukket,38
Høyskolen Kristiania,2022,diamant,7
Høyskolen Kristiania,2022,gull,67
Høyskolen Kristiania,2022,hybrid,21
Høyskolen Kristiania,2022,hybrid_avtale,34
Høyskolen Kristiania,2022,grønn,27
Høyskolen Kristiania,2022,lukket,32
Høyskolen Kristiania,2023,diamant,12
Høyskolen Kristiania,2023,gull,68
Høyskolen Kristiania,2023,hybrid,11
Høyskolen Kristiania,2023,hybrid_avtale,36
Høyskolen Kristiania,2023,grønn,19
Høyskolen Kristiania,2023,lukket,41
Høyskolen Kristiania,2024,diamant,14
Høyskolen Kristiania,2024,gull,59
Høyskolen Kristiania,2024,hybrid,38
Høyskolen Kristiania,2024,hybrid_avtale,25
Høyskolen Kristiania,2024,grønn,22
Høyskolen Kristiania,2024,lukket,48
Høyskolen Kristiania,2025,diamant,20
Høyskolen Kristiania,2025,gull,85
Høyskolen Kristiania,2025,hybrid,33
Høyskolen Kristiania,2025,hybrid_avtale,33
Høyskolen Kristiania,2025,grønn,30
Høyskolen Kristiania,2025,deponert,7
Høyskolen Kristiania,2025,lukket,47
Høyskolen for Ledelse og Teologi,2013,lukket,2
Høyskolen for Ledelse og Teologi,2014,lukket,2
Høyskolen for Ledelse og Teologi,2015,lukket,5
Høyskolen for Ledelse og Teologi,2016,diamant,1
Høyskolen for Ledelse og Teologi,2016,lukket,4
Høyskolen for Ledelse og Teologi,2017,diamant,3
Høyskolen for Ledelse og Teologi,2017,lukket,1
Høyskolen for Ledelse og Teologi,2018,diamant,2
Høyskolen for Ledelse og Teologi,2018,lukket,4
Høyskolen for Ledelse og Teologi,2019,diamant,4
Høyskolen for Ledelse og Teologi,2019,hybrid,1
Høyskolen for Ledelse og Teologi,2019,lukket,2
Høyskolen for Ledelse og Teologi,2020,diamant,4
Høyskolen for Ledelse og Teologi,2020,lukket,5
Høyskolen for Ledelse og Teologi,2021,diamant,4
Høyskolen for Ledelse og Teologi,2021,gull,2
Høyskolen for Ledelse og Teologi,2021,grønn,1
Høyskolen for Ledelse og Teologi,2021,lukket,5
Høyskolen for Ledelse og Teologi,2022,diamant,2
Høyskolen for Ledelse og Teologi,2022,hybrid_avtale,1
Høyskolen for Ledelse og Teologi,2022,lukket,3
Høyskolen for Ledelse og Teologi,2023,diamant,6
Høyskolen for Ledelse og Teologi,2023,gull,1
Høyskolen for Ledelse og Teologi,2023,hybrid_avtale,2
Høyskolen for Ledelse og Teologi,2023,lukket,5
Høyskolen for Ledelse og Teologi,2024,diamant,1
Høyskolen for Ledelse og Teologi,2024,lukket,4
Høyskolen for Ledelse og Teologi,2025,diamant,7
Høyskolen for Ledelse og Teologi,2025,gull,1
Høyskolen for Ledelse og Teologi,2025,grønn,1
Høyskolen for Ledelse og Teologi,2025,lukket,3
Institutt for energiteknikk,2013,gull,12
Institutt for energiteknikk,2013,hybrid,2
Institutt for energiteknikk,2013,grønn,24
Institutt for energiteknikk,2013,lukket,60
Institutt for energiteknikk,2014,gull,11
Institutt for energiteknikk,2014,hybrid,5
Institutt for energiteknikk,2014,grønn,20
Institutt for energiteknikk,2014,lukket,57
Institutt for energiteknikk,2015,gull,14
Institutt for energiteknikk,2015,hybrid,2
Institutt for energiteknikk,2015,grønn,27
Institutt for energiteknikk,2015,lukket,52
Institutt for energiteknikk,2016,gull,18
Institutt for energiteknikk,2016,hybrid,3
Institutt for energiteknikk,2016,grønn,23
Institutt for energiteknikk,2016,lukket,65
Institutt for energiteknikk,2017,diamant,1
Institutt for energiteknikk,2017,gull,21
Institutt for energiteknikk,2017,hybrid,5
Institutt for energiteknikk,2017,grønn,44
Institutt for energiteknikk,2017,lukket,23
Institutt for energiteknikk,2018,diamant,2
Institutt for energiteknikk,2018,gull,17
Institutt for energiteknikk,2018,hybrid,12
Institutt for energiteknikk,2018,grønn,56
Institutt for energiteknikk,2018,lukket,43
Institutt for energiteknikk,2019,diamant,2
Institutt for energiteknikk,2019,gull,12
Institutt for energiteknikk,2019,hybrid,5
Institutt for energiteknikk,2019,hybrid_avtale,7
Institutt for energiteknikk,2019,grønn,57
Institutt for energiteknikk,2019,lukket,26
Institutt for energiteknikk,2020,gull,23
Institutt for energiteknikk,2020,hybrid,12
Institutt for energiteknikk,2020,hybrid_avtale,24
Institutt for energiteknikk,2020,grønn,21
Institutt for energiteknikk,2020,lukket,52
Institutt for energiteknikk,2021,diamant,1
Institutt for energiteknikk,2021,gull,20
Institutt for energiteknikk,2021,hybrid,25
Institutt for energiteknikk,2021,hybrid_avtale,33
Institutt for energiteknikk,2021,grønn,13
Institutt for energiteknikk,2021,lukket,50
Institutt for energiteknikk,2022,gull,24
Institutt for energiteknikk,2022,hybrid,18
Institutt for energiteknikk,2022,hybrid_avtale,25
Institutt for energiteknikk,2022,grønn,19
Institutt for energiteknikk,2022,lukket,37
Institutt for energiteknikk,2023,diamant,4
Institutt for energiteknikk,2023,gull,46
Institutt for energiteknikk,2023,hybrid,22
Institutt for energiteknikk,2023,hybrid_avtale,45
Institutt for energiteknikk,2023,grønn,12
Institutt for energiteknikk,2023,lukket,35
Institutt for energiteknikk,2024,diamant,5
Institutt for energiteknikk,2024,gull,40
Institutt for energiteknikk,2024,hybrid,18
Institutt for energiteknikk,2024,hybrid_avtale,51
Institutt for energiteknikk,2024,grønn,18
Institutt for energiteknikk,2024,deponert,2
Institutt for energiteknikk,2024,lukket,45
Institutt for energiteknikk,2025,diamant,2
Institutt for energiteknikk,2025,gull,44
Institutt for energiteknikk,2025,hybrid,28
Institutt for energiteknikk,2025,hybrid_avtale,44
Institutt for energiteknikk,2025,grønn,8
Institutt for energiteknikk,2025,deponert,3
Institutt for energiteknikk,2025,lukket,45
Institutt for samfunnsforskning,2013,diamant,1
Institutt for samfunnsforskning,2013,gull,1
Institutt for samfunnsforskning,2013,hybrid,1
Institutt for samfunnsforskning,2013,grønn,26
Institutt for samfunnsforskning,2013,lukket,18
Institutt for samfunnsforskning,2014,diamant,4
Institutt for samfunnsforskning,2014,gull,1
Institutt for samfunnsforskning,2014,hybrid,1
Institutt for samfunnsforskning,2014,grønn,12
Institutt for samfunnsforskning,2014,lukket,20
Institutt for samfunnsforskning,2015,diamant,4
Institutt for samfunnsforskning,2015,gull,3
Institutt for samfunnsforskning,2015,grønn,9
Institutt for samfunnsforskning,2015,lukket,21
Institutt for samfunnsforskning,2016,diamant,8
Institutt for samfunnsforskning,2016,hybrid,3
Institutt for samfunnsforskning,2016,grønn,20
Institutt for samfunnsforskning,2016,lukket,12
Institutt for samfunnsforskning,2017,diamant,12
Institutt for samfunnsforskning,2017,hybrid,8
Institutt for samfunnsforskning,2017,grønn,16
Institutt for samfunnsforskning,2017,lukket,3
Institutt for samfunnsforskning,2018,diamant,4
Institutt for samfunnsforskning,2018,gull,3
Institutt for samfunnsforskning,2018,hybrid,12
Institutt for samfunnsforskning,2018,grønn,18
Institutt for samfunnsforskning,2018,lukket,2
Institutt for samfunnsforskning,2019,diamant,15
Institutt for samfunnsforskning,2019,gull,4
Institutt for samfunnsforskning,2019,hybrid,14
Institutt for samfunnsforskning,2019,hybrid_avtale,1
Institutt for samfunnsforskning,2019,grønn,19
Institutt for samfunnsforskning,2019,lukket,3
Institutt for samfunnsforskning,2020,diamant,8
Institutt for samfunnsforskning,2020,gull,1
Institutt for samfunnsforskning,2020,hybrid,14
Institutt for samfunnsforskning,2020,hybrid_avtale,7
Institutt for samfunnsforskning,2020,grønn,13
Institutt for samfunnsforskning,2020,lukket,2
Institutt for samfunnsforskning,2021,diamant,8
Institutt for samfunnsforskning,2021,gull,4
Institutt for samfunnsforskning,2021,hybrid,11
Institutt for samfunnsforskning,2021,hybrid_avtale,12
Institutt for samfunnsforskning,2021,grønn,6
Institutt for samfunnsforskning,2021,lukket,1
Institutt for samfunnsforskning,2022,diamant,8
Institutt for samfunnsforskning,2022,hybrid,6
Institutt for samfunnsforskning,2022,hybrid_avtale,16
Institutt for samfunnsforskning,2022,grønn,9
Institutt for samfunnsforskning,2022,lukket,2
Institutt for samfunnsforskning,2023,diamant,12
Institutt for samfunnsforskning,2023,gull,2
Institutt for samfunnsforskning,2023,hybrid,9
Institutt for samfunnsforskning,2023,hybrid_avtale,22
Institutt for samfunnsforskning,2023,grønn,2
Institutt for samfunnsforskning,2023,lukket,1
Institutt for samfunnsforskning,2024,diamant,9
Institutt for samfunnsforskning,2024,gull,3
Institutt for samfunnsforskning,2024,hybrid,9
Institutt for samfunnsforskning,2024,hybrid_avtale,22
Institutt for samfunnsforskning,2024,grønn,4
Institutt for samfunnsforskning,2025,diamant,15
Institutt for samfunnsforskning,2025,gull,5
Institutt for samfunnsforskning,2025,hybrid,18
Institutt for samfunnsforskning,2025,hybrid_avtale,20
Institutt for samfunnsforskning,2025,grønn,3
Institutt for samfunnsforskning,2025,lukket,1
Kompetansesenteret Tannhelse Midt,2025,gull,19
Kompetansesenteret Tannhelse Midt,2025,hybrid,5
Kompetansesenteret Tannhelse Midt,2025,hybrid_avtale,1
Kompetansesenteret Tannhelse Midt,2025,grønn,1
Kompetansesenteret Tannhelse Midt,2025,lukket,1
Kriminalomsorgens høgskole og utdanningssenter KRUS,2013,grønn,3
Kriminalomsorgens høgskole og utdanningssenter KRUS,2013,lukket,2
Kriminalomsorgens høgskole og utdanningssenter KRUS,2014,grønn,1
Kriminalomsorgens høgskole og utdanningssenter KRUS,2015,diamant,1
Kriminalomsorgens høgskole og utdanningssenter KRUS,2015,gull,2
Kriminalomsorgens høgskole og utdanningssenter KRUS,2015,hybrid,2
Kriminalomsorgens høgskole og utdanningssenter KRUS,2015,lukket,3
Kriminalomsorgens høgskole og utdanningssenter KRUS,2016,lukket,3
Kriminalomsorgens høgskole og utdanningssenter KRUS,2017,diamant,1
Kriminalomsorgens høgskole og utdanningssenter KRUS,2017,grønn,2
Kriminalomsorgens høgskole og utdanningssenter KRUS,2018,grønn,1
Kriminalomsorgens høgskole og utdanningssenter KRUS,2018,lukket,5
Kriminalomsorgens høgskole og utdanningssenter KRUS,2019,diamant,2
Kriminalomsorgens høgskole og utdanningssenter KRUS,2019,lukket,3
Kriminalomsorgens høgskole og utdanningssenter KRUS,2020,gull,1
Kriminalomsorgens høgskole og utdanningssenter KRUS,2020,hybrid,1
Kriminalomsorgens høgskole og utdanningssenter KRUS,2020,hybrid_avtale,3
Kriminalomsorgens høgskole og utdanningssenter KRUS,2020,grønn,2
Kriminalomsorgens høgskole og utdanningssenter KRUS,2020,lukket,2
Kriminalomsorgens høgskole og utdanningssenter KRUS,2021,diamant,1
Kriminalomsorgens høgskole og utdanningssenter KRUS,2021,gull,3
Kriminalomsorgens høgskole og utdanningssenter KRUS,2021,hybrid_avtale,3
Kriminalomsorgens høgskole og utdanningssenter KRUS,2021,grønn,2
Kriminalomsorgens høgskole og utdanningssenter KRUS,2021,lukket,1
Kriminalomsorgens høgskole og utdanningssenter KRUS,2022,diamant,1
Kriminalomsorgens høgskole og utdanningssenter KRUS,2022,gull,1
Kriminalomsorgens høgskole og utdanningssenter KRUS,2022,hybrid_avtale,3
Kriminalomsorgens høgskole og utdanningssenter KRUS,2022,grønn,1
Kriminalomsorgens høgskole og utdanningssenter KRUS,2022,lukket,1
Kriminalomsorgens høgskole og utdanningssenter KRUS,2023,diamant,1
Kriminalomsorgens høgskole og utdanningssenter KRUS,2023,gull,2
Kriminalomsorgens høgskole og utdanningssenter KRUS,2023,hybrid,2
Kriminalomsorgens høgskole og utdanningssenter KRUS,2023,hybrid_avtale,3
Kriminalomsorgens høgskole og utdanningssenter KRUS,2023,lukket,1
Kriminalomsorgens høgskole og utdanningssenter KRUS,2024,diamant,3
Kriminalomsorgens høgskole og utdanningssenter KRUS,2024,gull,2
Kriminalomsorgens høgskole og utdanningssenter KRUS,2024,hybrid,1
Kriminalomsorgens høgskole og utdanningssenter KRUS,2024,hybrid_avtale,2
Kriminalomsorgens høgskole og utdanningssenter KRUS,2024,lukket,3
Kriminalomsorgens høgskole og utdanningssenter KRUS,2025,diamant,2
Kriminalomsorgens høgskole og utdanningssenter KRUS,2025,gull,3
Kriminalomsorgens høgskole og utdanningssenter KRUS,2025,hybrid_avtale,9
Kriminalomsorgens høgskole og utdanningssenter KRUS,2025,lukket,1
Kunsthøgskolen i Oslo,2013,grønn,1
Kunsthøgskolen i Oslo,2014,lukket,1
Kunsthøgskolen i Oslo,2016,gull,1
Kunsthøgskolen i Oslo,2016,lukket,1
Kunsthøgskolen i Oslo,2017,gull,1
Kunsthøgskolen i Oslo,2018,diamant,2
Kunsthøgskolen i Oslo,2018,lukket,1
Kunsthøgskolen i Oslo,2019,lukket,2
Kunsthøgskolen i Oslo,2020,hybrid_avtale,1
Kunsthøgskolen i Oslo,2021,gull,1
Kunsthøgskolen i Oslo,2021,hybrid_avtale,1
Kunsthøgskolen i Oslo,2021,lukket,2
Kunsthøgskolen i Oslo,2022,diamant,1
Kunsthøgskolen i Oslo,2022,gull,2
Kunsthøgskolen i Oslo,2022,grønn,1
Kunsthøgskolen i Oslo,2022,lukket,1
Kunsthøgskolen i Oslo,2023,diamant,2
Kunsthøgskolen i Oslo,2023,gull,2
Kunsthøgskolen i Oslo,2023,grønn,1
Kunsthøgskolen i Oslo,2024,gull,1
Kunsthøgskolen i Oslo,2024,lukket,1
Kunsthøgskolen i Oslo,2025,diamant,3
Kunsthøgskolen i Oslo,2025,grønn,2
Kunsthøgskolen i Oslo,2025,deponert,1
Lovisenberg Diakonale Sykehus,2013,diamant,3
Lovisenberg Diakonale Sykehus,2013,gull,9
Lovisenberg Diakonale Sykehus,2013,hybrid,3
Lovisenberg Diakonale Sykehus,2013,grønn,7
Lovisenberg Diakonale Sykehus,2013,lukket,31
Lovisenberg Diakonale Sykehus,2014,diamant,1
Lovisenberg Diakonale Sykehus,2014,gull,14
Lovisenberg Diakonale Sykehus,2014,hybrid,2
Lovisenberg Diakonale Sykehus,2014,grønn,8
Lovisenberg Diakonale Sykehus,2014,lukket,34
Lovisenberg Diakonale Sykehus,2015,diamant,2
Lovisenberg Diakonale Sykehus,2015,gull,8
Lovisenberg Diakonale Sykehus,2015,hybrid,4
Lovisenberg Diakonale Sykehus,2015,grønn,6
Lovisenberg Diakonale Sykehus,2015,lukket,26
Lovisenberg Diakonale Sykehus,2016,diamant,1
Lovisenberg Diakonale Sykehus,2016,gull,23
Lovisenberg Diakonale Sykehus,2016,hybrid,6
Lovisenberg Diakonale Sykehus,2016,grønn,7
Lovisenberg Diakonale Sykehus,2016,lukket,28
Lovisenberg Diakonale Sykehus,2017,diamant,3
Lovisenberg Diakonale Sykehus,2017,gull,14
Lovisenberg Diakonale Sykehus,2017,hybrid,6
Lovisenberg Diakonale Sykehus,2017,grønn,8
Lovisenberg Diakonale Sykehus,2017,lukket,14
Lovisenberg Diakonale Sykehus,2018,diamant,2
Lovisenberg Diakonale Sykehus,2018,gull,15
Lovisenberg Diakonale Sykehus,2018,hybrid,8
Lovisenberg Diakonale Sykehus,2018,grønn,18
Lovisenberg Diakonale Sykehus,2018,lukket,15
Lovisenberg Diakonale Sykehus,2019,diamant,2
Lovisenberg Diakonale Sykehus,2019,gull,21
Lovisenberg Diakonale Sykehus,2019,hybrid,4
Lovisenberg Diakonale Sykehus,2019,hybrid_avtale,3
Lovisenberg Diakonale Sykehus,2019,grønn,12
Lovisenberg Diakonale Sykehus,2019,lukket,25
Lovisenberg Diakonale Sykehus,2020,gull,30
Lovisenberg Diakonale Sykehus,2020,hybrid,8
Lovisenberg Diakonale Sykehus,2020,hybrid_avtale,10
Lovisenberg Diakonale Sykehus,2020,grønn,11
Lovisenberg Diakonale Sykehus,2020,lukket,8
Lovisenberg Diakonale Sykehus,2021,diamant,4
Lovisenberg Diakonale Sykehus,2021,gull,24
Lovisenberg Diakonale Sykehus,2021,hybrid,13
Lovisenberg Diakonale Sykehus,2021,hybrid_avtale,17
Lovisenberg Diakonale Sykehus,2021,grønn,9
Lovisenberg Diakonale Sykehus,2021,lukket,13
Lovisenberg Diakonale Sykehus,2022,gull,36
Lovisenberg Diakonale Sykehus,2022,hybrid,16
Lovisenberg Diakonale Sykehus,2022,hybrid_avtale,26
Lovisenberg Diakonale Sykehus,2022,grønn,11
Lovisenberg Diakonale Sykehus,2022,lukket,9
Lovisenberg Diakonale Sykehus,2023,diamant,2
Lovisenberg Diakonale Sykehus,2023,gull,44
Lovisenberg Diakonale Sykehus,2023,hybrid,17
Lovisenberg Diakonale Sykehus,2023,hybrid_avtale,33
Lovisenberg Diakonale Sykehus,2023,grønn,2
Lovisenberg Diakonale Sykehus,2023,lukket,9
Lovisenberg Diakonale Sykehus,2024,diamant,7
Lovisenberg Diakonale Sykehus,2024,gull,54
Lovisenberg Diakonale Sykehus,2024,hybrid,14
Lovisenberg Diakonale Sykehus,2024,hybrid_avtale,29
Lovisenberg Diakonale Sykehus,2024,grønn,9
Lovisenberg Diakonale Sykehus,2024,deponert,1
Lovisenberg Diakonale Sykehus,2024,lukket,10
Lovisenberg Diakonale Sykehus,2025,diamant,4
Lovisenberg Diakonale Sykehus,2025,gull,48
Lovisenberg Diakonale Sykehus,2025,hybrid,39
Lovisenberg Diakonale Sykehus,2025,hybrid_avtale,22
Lovisenberg Diakonale Sykehus,2025,grønn,8
Lovisenberg Diakonale Sykehus,2025,deponert,1
Lovisenberg Diakonale Sykehus,2025,lukket,13
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2013,grønn,1
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2013,lukket,10
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2014,diamant,1
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2014,gull,4
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2014,hybrid,1
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2014,lukket,5
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2015,grønn,1
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2015,lukket,4
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2016,gull,4
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2016,grønn,3
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2016,lukket,4
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2017,gull,5
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2017,hybrid,2
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2017,grønn,1
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2017,lukket,2
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2018,gull,7
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2018,grønn,1
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2018,lukket,3
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2019,diamant,1
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2019,gull,6
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2019,hybrid_avtale,1
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2019,grønn,1
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2019,lukket,5
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2020,gull,3
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2020,hybrid,2
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2020,hybrid_avtale,3
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2020,grønn,1
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2020,lukket,1
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2021,gull,3
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2021,hybrid,1
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2021,hybrid_avtale,1
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2021,grønn,2
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2021,lukket,2
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2022,gull,5
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2022,hybrid,1
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2022,hybrid_avtale,1
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2022,lukket,1
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2023,gull,2
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2023,hybrid,1
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2024,gull,5
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2024,grønn,1
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2025,gull,2
"Lovisenberg Rehabilitering, Cathinka Guldbergs sykehus",2025,hybrid_avtale,1
Lovisenberg diakonale høgskole,2013,gull,4
Lovisenberg diakonale høgskole,2013,hybrid,2
Lovisenberg diakonale høgskole,2013,grønn,2
Lovisenberg diakonale høgskole,2013,lukket,18
Lovisenberg diakonale høgskole,2014,gull,8
Lovisenberg diakonale høgskole,2014,hybrid,3
Lovisenberg diakonale høgskole,2014,grønn,3
Lovisenberg diakonale høgskole,2014,lukket,11
Lovisenberg diakonale høgskole,2015,gull,5
Lovisenberg diakonale høgskole,2015,grønn,4
Lovisenberg diakonale høgskole,2015,lukket,8
Lovisenberg diakonale høgskole,2016,diamant,4
Lovisenberg diakonale høgskole,2016,gull,4
Lovisenberg diakonale høgskole,2016,hybrid,3
Lovisenberg diakonale høgskole,2016,grønn,4
Lovisenberg diakonale høgskole,2016,lukket,15
Lovisenberg diakonale høgskole,2017,gull,4
Lovisenberg diakonale høgskole,2017,hybrid,6
Lovisenberg diakonale høgskole,2017,grønn,5
Lovisenberg diakonale høgskole,2017,lukket,11
Lovisenberg diakonale høgskole,2018,diamant,1
Lovisenberg diakonale høgskole,2018,gull,6
Lovisenberg diakonale høgskole,2018,hybrid,1
Lovisenberg diakonale høgskole,2018,grønn,7
Lovisenberg diakonale høgskole,2018,lukket,17
Lovisenberg diakonale høgskole,2019,diamant,1
Lovisenberg diakonale høgskole,2019,gull,16
Lovisenberg diakonale høgskole,2019,hybrid,3
Lovisenberg diakonale høgskole,2019,hybrid_avtale,1
Lovisenberg diakonale høgskole,2019,grønn,7
Lovisenberg diakonale høgskole,2019,lukket,9
Lovisenberg diakonale høgskole,2020,gull,20
Lovisenberg diakonale høgskole,2020,hybrid,3
Lovisenberg diakonale høgskole,2020,hybrid_avtale,6
Lovisenberg diakonale høgskole,2020,grønn,8
Lovisenberg diakonale høgskole,2020,lukket,10
Lovisenberg diakonale høgskole,2021,diamant,5
Lovisenberg diakonale høgskole,2021,gull,22
Lovisenberg diakonale høgskole,2021,hybrid,3
Lovisenberg diakonale høgskole,2021,hybrid_avtale,16
Lovisenberg diakonale høgskole,2021,grønn,4
Lovisenberg diakonale høgskole,2021,lukket,8
Lovisenberg diakonale høgskole,2022,diamant,8
Lovisenberg diakonale høgskole,2022,gull,29
Lovisenberg diakonale høgskole,2022,hybrid,5
Lovisenberg diakonale høgskole,2022,hybrid_avtale,16
Lovisenberg diakonale høgskole,2022,grønn,6
Lovisenberg diakonale høgskole,2022,lukket,8
Lovisenberg diakonale høgskole,2023,diamant,4
Lovisenberg diakonale høgskole,2023,gull,32
Lovisenberg diakonale høgskole,2023,hybrid,5
Lovisenberg diakonale høgskole,2023,hybrid_avtale,16
Lovisenberg diakonale høgskole,2023,lukket,5
Lovisenberg diakonale høgskole,2024,diamant,7
Lovisenberg diakonale høgskole,2024,gull,29
Lovisenberg diakonale høgskole,2024,hybrid,5
Lovisenberg diakonale høgskole,2024,hybrid_avtale,22
Lovisenberg diakonale høgskole,2024,grønn,4
Lovisenberg diakonale høgskole,2024,lukket,5
Lovisenberg diakonale høgskole,2025,diamant,7
Lovisenberg diakonale høgskole,2025,gull,38
Lovisenberg diakonale høgskole,2025,hybrid,14
Lovisenberg diakonale høgskole,2025,hybrid_avtale,18
Lovisenberg diakonale høgskole,2025,grønn,8
Lovisenberg diakonale høgskole,2025,deponert,2
Lovisenberg diakonale høgskole,2025,lukket,11
"MF vitenskapelig høyskole for teologi, religion og samfunn",2013,gull,1
"MF vitenskapelig høyskole for teologi, religion og samfunn",2013,hybrid,1
"MF vitenskapelig høyskole for teologi, religion og samfunn",2013,grønn,1
"MF vitenskapelig høyskole for teologi, religion og samfunn",2013,lukket,41
"MF vitenskapelig høyskole for teologi, religion og samfunn",2014,gull,4
