year,discipline,status,total
2022,Humaniora,grønn,443
2022,Realfag og teknologi,deponert,19
2022,Medisin og helsefag,deponert,13
2022,Samfunnsvitenskap,deponert,9
2022,Humaniora,deponert,7
2022,Realfag og teknologi,lukket,1445
2022,Medisin og helsefag,lukket,1079
2022,Samfunnsvitenskap,lukket,905
2022,Humaniora,lukket,534
2023,Realfag og teknologi,diamant,615
2023,Medisin og helsefag,diamant,444
2023,Samfunnsvitenskap,diamant,429
2023,Humaniora,diamant,240
2023,Realfag og teknologi,gull,3537
2023,Medisin og helsefag,gull,3013
2023,Samfunnsvitenskap,gull,1378
2023,Humaniora,gull,656
2023,Realfag og teknologi,hybrid,1494
2023,Medisin og helsefag,hybrid,1088
2023,Samfunnsvitenskap,hybrid,708
2023,Humaniora,hybrid,304
2023,Realfag og teknologi,hybrid_avtale,2120
2023,Medisin og helsefag,hybrid_avtale,1460
2023,Samfunnsvitenskap,hybrid_avtale,925
2023,Humaniora,hybrid_avtale,394
2023,Realfag og teknologi,grønn,1204
2023,Medisin og helsefag,grønn,987
2023,Samfunnsvitenskap,grønn,697
2023,Humaniora,grønn,396
2023,Realfag og teknologi,deponert,34
2023,Medisin og helsefag,deponert,19
2023,Samfunnsvitenskap,deponert,17
2023,Humaniora,deponert,12
2023,Realfag og teknologi,lukket,1364
2023,Medisin og helsefag,lukket,927
2023,Samfunnsvitenskap,lukket,817
2023,Humaniora,lukket,487
2024,Realfag og teknologi,diamant,639
2024,Medisin og helsefag,diamant,455
2024,Samfunnsvitenskap,diamant,410
2024,Humaniora,diamant,275
2024,Realfag og teknologi,gull,3167
2024,Medisin og helsefag,gull,2860
2024,Samfunnsvitenskap,gull,1417
2024,Humaniora,gull,646
2024,Realfag og teknologi,hybrid,1495
2024,Medisin og helsefag,hybrid,1200
2024,Samfunnsvitenskap,hybrid,728
2024,Humaniora,hybrid,293
2024,Realfag og teknologi,hybrid_avtale,2242
2024,Medisin og helsefag,hybrid_avtale,1603
2024,Samfunnsvitenskap,hybrid_avtale,971
2024,Humaniora,hybrid_avtale,421
2024,Realfag og teknologi,grønn,908
2024,Medisin og helsefag,grønn,728
2024,Samfunnsvitenskap,grønn,609
2024,Humaniora,grønn,294
2024,Realfag og teknologi,deponert,40
2024,Medisin og helsefag,deponert,24
2024,Samfunnsvitenskap,deponert,20
2024,Humaniora,deponert,15
2024,Realfag og teknologi,lukket,1363
2024,Medisin og helsefag,lukket,913
2024,Samfunnsvitenskap,lukket,805
2024,Humaniora,lukket,464
2025,Realfag og teknologi,diamant,622
2025,Medisin og helsefag,diamant,475
2025,Samfunnsvitenskap,diamant,450
2025,Humaniora,diamant,281
2025,Realfag og teknologi,gull,3351
2025,Medisin og helsefag,gull,2956
2025,Samfunnsvitenskap,gull,1415
2025,Humaniora,gull,696
2025,Realfag og teknologi,hybrid,1703
2025,Medisin og helsefag,hybrid,1281
2025,Samfunnsvitenskap,hybrid,804
2025,Humaniora,hybrid,321
2025,Realfag og teknologi,hybrid_avtale,1777
2025,Medisin og helsefag,hybrid_avtale,1368
2025,Samfunnsvitenskap,hybrid_avtale,761
2025,Humaniora,hybrid_avtale,359
2025,Realfag og teknologi,grønn,1019
2025,Medisin og helsefag,grønn,783
2025,Samfunnsvitenskap,grønn,577
2025,Humaniora,grønn,327
2025,Realfag og teknologi,deponert,309
2025,Medisin og helsefag,deponert,200
2025,Samfunnsvitenskap,deponert,151
2025,Humaniora,deponert,109
2025,Realfag og teknologi,lukket,1207
2025,Medisin og helsefag,lukket,837
2025,Samfunnsvitenskap,lukket,712
2025,Humaniora,lukket,450
