institution,year,status,total
Chr. Michelsen Institute,2015,diamond,2
Chr. Michelsen Institute,2015,gold,2
Chr. Michelsen Institute,2015,hybrid,1
Chr. Michelsen Institute,2015,green,1
Chr. Michelsen Institute,2015,closed,14
Chr. Michelsen Institute,2016,diamond,1
Chr. Michelsen Institute,2016,gold,3
Chr. Michelsen Institute,2016,green,1
Chr. Michelsen Institute,2016,closed,19
Chr. Michelsen Institute,2017,diamond,1
Chr. Michelsen Institute,2017,gold,4
Chr. Michelsen Institute,2017,hybrid,3
Chr. Michelsen Institute,2017,green,4
Chr. Michelsen Institute,2017,closed,9
Chr. Michelsen Institute,2018,diamond,3
Chr. Michelsen Institute,2018,gold,5
Chr. Michelsen Institute,2018,hybrid,4
Chr. Michelsen Institute,2018,green,7
Chr. Michelsen Institute,2018,closed,12
Chr. Michelsen Institute,2019,diamond,4
Chr. Michelsen Institute,2019,gold,6
Chr. Michelsen Institute,2019,hybrid,7
Chr. Michelsen Institute,2019,green,9
Chr. Michelsen Institute,2019,closed,12
Chr. Michelsen Institute,2020,diamond,5
Chr. Michelsen Institute,2020,gold,7
Chr. Michelsen Institute,2020,hybrid,3
Chr. Michelsen Institute,2020,hybrid_agreement,3
Chr. Michelsen Institute,2020,green,6
Chr. Michelsen Institute,2020,closed,6
Chr. Michelsen Institute,2021,diamond,7
Chr. Michelsen Institute,2021,gold,22
Chr. Michelsen Institute,2021,hybrid,3
Chr. Michelsen Institute,2021,hybrid_agreement,9
Chr. Michelsen Institute,2021,green,8
Chr. Michelsen Institute,2021,closed,14
Chr. Michelsen Institute,2022,diamond,5
Chr. Michelsen Institute,2022,gold,8
Chr. Michelsen Institute,2022,hybrid,3
Chr. Michelsen Institute,2022,hybrid_agreement,7
Chr. Michelsen Institute,2022,green,2
Chr. Michelsen Institute,2022,closed,5
Chr. Michelsen Institute,2023,gold,5
Chr. Michelsen Institute,2023,hybrid,8
Chr. Michelsen Institute,2023,hybrid_agreement,15
Chr. Michelsen Institute,2023,green,6
Chr. Michelsen Institute,2023,closed,4
Chr. Michelsen Institute,2024,diamond,5
Chr. Michelsen Institute,2024,gold,10
Chr. Michelsen Institute,2024,hybrid,10
Chr. Michelsen Institute,2024,hybrid_agreement,12
Chr. Michelsen Institute,2024,green,3
