year,sector,discipline,status,total
2014,institute,natural_sciences_engineering,gold,427
2014,institute,natural_sciences_engineering,hybrid,144
2014,institute,natural_sciences_engineering,green,351
2014,institute,natural_sciences_engineering,closed,1119
2014,institute,social_science,diamond,18
2014,institute,social_science,gold,29
2014,institute,social_science,hybrid,29
2014,institute,social_science,green,126
2014,institute,social_science,closed,338
2014,higher_education,all,diamond,616
2014,higher_education,all,gold,2145
2014,higher_education,all,hybrid,919
2014,higher_education,all,green,2338
2014,higher_education,all,deposited,3
2014,higher_education,all,closed,8624
2014,higher_education,humanities,diamond,210
2014,higher_education,humanities,gold,65
2014,higher_education,humanities,hybrid,22
2014,higher_education,humanities,green,129
2014,higher_education,humanities,closed,675
2014,higher_education,health_sciences,diamond,87
2014,higher_education,health_sciences,gold,938
2014,higher_education,health_sciences,hybrid,395
2014,higher_education,health_sciences,green,579
2014,higher_education,health_sciences,closed,2789
2014,higher_education,natural_sciences_engineering,diamond,144
2014,higher_education,natural_sciences_engineering,gold,959
2014,higher_education,natural_sciences_engineering,hybrid,380
2014,higher_education,natural_sciences_engineering,green,1104
2014,higher_education,natural_sciences_engineering,deposited,2
2014,higher_education,natural_sciences_engineering,closed,3033
2014,higher_education,social_science,diamond,175
2014,higher_education,social_science,gold,162
2014,higher_education,social_science,hybrid,98
2014,higher_education,social_science,green,404
2014,higher_education,social_science,deposited,1
2014,higher_education,social_science,closed,1504
2015,archives_libraries_museums,all,diamond,1
2015,archives_libraries_museums,all,closed,2
2015,archives_libraries_museums,humanities,diamond,1
2015,archives_libraries_museums,humanities,closed,2
2015,all,all,diamond,718
2015,all,all,gold,2957
2015,all,all,hybrid,1266
2015,all,all,green,2965
2015,all,all,deposited,3
2015,all,all,closed,10133
2015,all,humanities,diamond,203
2015,all,humanities,gold,75
2015,all,humanities,hybrid,22
2015,all,humanities,green,145
2015,all,humanities,deposited,1
2015,all,humanities,closed,712
2015,all,health_sciences,diamond,150
2015,all,health_sciences,gold,1196
2015,all,health_sciences,hybrid,565
2015,all,health_sciences,green,753
2015,all,health_sciences,deposited,1
2015,all,health_sciences,closed,3269
2015,all,natural_sciences_engineering,diamond,184
2015,all,natural_sciences_engineering,gold,1372
2015,all,natural_sciences_engineering,hybrid,513
2015,all,natural_sciences_engineering,green,1413
2015,all,natural_sciences_engineering,deposited,1
2015,all,natural_sciences_engineering,closed,3718
2015,all,social_science,diamond,181
2015,all,social_science,gold,279
2015,all,social_science,hybrid,140
2015,all,social_science,green,504
2015,all,social_science,closed,1726
2015,health,all,diamond,84
2015,health,all,gold,892
2015,health,all,hybrid,376
2015,health,all,green,344
2015,health,all,closed,2035
2015,health,humanities,diamond,1
2015,health,humanities,gold,1
2015,health,humanities,green,1
2015,health,humanities,closed,5
2015,health,health_sciences,diamond,74
2015,health,health_sciences,gold,631
2015,health,health_sciences,hybrid,347
2015,health,health_sciences,green,314
2015,health,health_sciences,closed,1858
2015,health,natural_sciences_engineering,diamond,8
2015,health,natural_sciences_engineering,gold,236
2015,health,natural_sciences_engineering,hybrid,19
2015,health,natural_sciences_engineering,green,23
2015,health,natural_sciences_engineering,closed,116
2015,health,social_science,diamond,1
2015,health,social_science,gold,23
2015,health,social_science,hybrid,9
2015,health,social_science,green,5
2015,health,social_science,closed,35
2015,institute,all,diamond,90
2015,institute,all,gold,698
2015,institute,all,hybrid,317
2015,institute,all,green,727
2015,institute,all,deposited,1
2015,institute,all,closed,1945
2015,institute,humanities,diamond,8
2015,institute,humanities,gold,4
2015,institute,humanities,hybrid,2
2015,institute,humanities,green,12
2015,institute,humanities,closed,39
2015,institute,health_sciences,diamond,39
2015,institute,health_sciences,gold,211
2015,institute,health_sciences,hybrid,114
2015,institute,health_sciences,green,160
2015,institute,health_sciences,closed,474
2015,institute,natural_sciences_engineering,diamond,19
2015,institute,natural_sciences_engineering,gold,424
2015,institute,natural_sciences_engineering,hybrid,156
2015,institute,natural_sciences_engineering,green,411
2015,institute,natural_sciences_engineering,deposited,1
2015,institute,natural_sciences_engineering,closed,1011
2015,institute,social_science,diamond,24
2015,institute,social_science,gold,53
2015,institute,social_science,hybrid,45
